project,project_url,policy_url,ai_llms_allowed,disclosure_required,copyright_statement,human_in_loop,notes,github_owner,github_repo,is_github,resolved_by_hand
Firefox,https://github.com/mozilla-firefox/firefox,https://firefox-source-docs.mozilla.org/contributing/ai-coding.html,Yes,No,No,Yes,,mozilla-firefox,firefox,True,False
Flutter,https://flutter.dev/,https://github.com/flutter/flutter/blob/master/docs/contributing/Tree-hygiene.md#ai-contribution-guidelines,Yes,No,No,Yes,,flutter,flutter,True,False
Forgejo,https://forgejo.org/,https://codeberg.org/forgejo/governance/src/branch/main/AIAgreement.md,No,-,-,-,-,,,False,False
Fractal,https://gitlab.gnome.org/World/fractal,https://gitlab.gnome.org/World/fractal/-/blob/main/CONTRIBUTING.md#llm-contributions,No,-,Yes,-,-,,,False,False
gaypanel,https://codeberg.org/pastthepixels/gaypanel,https://codeberg.org/pastthepixels/gaypanel/src/branch/main/CONTRIBUTING.md#things-that-aren-t-allowed,No,-,-,-,-,,,False,False
GDAL,https://gdal.org/,https://gdal.org/en/stable/community/ai_tool_policy.html,Yes,Yes,Yes,Yes,,OSGeo,gdal,True,True
Gedit,https://gedit-text-editor.org/,https://gitlab.gnome.org/World/gedit/gedit/-/blob/master/docs/guidelines/no-llm-tools.md,No,-,-,-,-,,,False,False
Gentoo Linux,https://www.gentoo.org/,https://wiki.gentoo.org/wiki/Project:Council/AI_policy,No,-,-,-,-,,,False,False
Ghostty,https://ghostty.org/,https://github.com/ghostty-org/ghostty/blob/main/AI_POLICY.md,Yes,Yes,No,Yes,"""Our reason for the strict AI policy is not due to an anti-AI stance, but instead due to the number of highly unqualified people using AI.""",ghostty-org,ghostty,True,False
GIMP,https://gitlab.gnome.org/GNOME/gimp,https://gitlab.gnome.org/GNOME/gimp/-/blob/master/.gitlab/merge_request_templates/default.md?plain=1#L11-12,No,-,-,-,-,,,False,False
Gitea,https://gitea.com/,https://github.com/go-gitea/gitea/blob/main/CONTRIBUTING.md#ai-contribution-policy,Yes,Yes,No,Yes,,go-gitea,gitea,True,False
Gitte,https://codeberg.org/ckruse/Gitte,https://codeberg.org/ckruse/Gitte/src/branch/main/README.md#contributing,No,-,-,-,-,,,False,False
Glasgow Interface Explorer,https://glasgow-embedded.org,https://glasgow-embedded.org/latest/contribute.html#contributing-code-or-documentation,No,-,-,-,-,,,False,False
GNOME Extensions,https://gjs.guide/extensions/development/creating.html,https://gjs.guide/extensions/review-guidelines/review-guidelines.html#extensions-must-not-be-ai-generated,Yes,-,-,Yes,"""While it is not prohibited to use AI as a learning aid or a development tool (i.e. code completions), extension developers should be able to justify and explain the code they submit, within reason.""",,,False,False
GNOME Loupe,https://welcome.gnome.org/app/Loupe/,https://gitlab.gnome.org/GNOME/loupe/-/blob/main/CONTRIBUTING.md?ref_type=heads#use-of-generative-ai,No,-,-,-,,,,False,False
GNU Binutils,https://sourceware.org/binutils/,https://sourceware.org/binutils/wiki/LLM_Generated_Content,No,-,-,-,-,,,False,False
goose,https://github.com/aaif-goose/goose,https://github.com/block/goose/blob/main/HOWTOAI.md,Yes,No,No,Yes,[AGENTS.md file](https://github.com/aaif-goose/goose/blob/main/AGENTS.md),aaif-goose,goose,True,False
GoToSocial,https://gotosocial.org/,https://codeberg.org/superseriousbusiness/gotosocial/src/branch/main/CODE_OF_CONDUCT.md,No,-,-,-,-,,,False,False
Gram,https://gram-editor.com,https://codeberg.org/GramEditor/gram/src/branch/main/CODE_OF_CONDUCT.md#strict-no-llm-no-ai-policy,No,-,-,-,"Fork of the Zed editor, which has AI-generated code. However, this is explicitly a fork seeking to remove AI. The amount of AI-generated legacy code may decrease over time.",,,False,False
Halloy,https://github.com/squidowl/halloy,https://halloy.chat/contributing#ai,No,-,-,-,Has the Claude banner due to [a single Claude commit](https://github.com/squidowl/halloy/commit/826dc9d5b8a513900f193bdb3ad57abc96f2adcc). There's currently at least [some effort going into removing it](https://github.com/squidowl/halloy/issues/1814),squidowl,halloy,True,False
Highscore,https://gitlab.gnome.org/World/highscore,https://gitlab.gnome.org/World/highscore/-/blob/main/CONTRIBUTING.md?ref_type=heads#use-of-generative-ai,No,-,Yes,-,This includes its porting interface [libhighscore](https://gitlab.gnome.org/alicem/libhighscore#use-of-generative-ai),,,False,False
hit-counter.net,https://www.hit-counter.net/index.php,https://www.hit-counter.net/aipolicy.php,No,-,-,-,-,,,False,False
